(min_dist,	velocity,	distance,	time_elapsed,	X position,	Y position
(0.504191,	0.031113,	0.001709,	0.054929,	-2.265833,	-0.500308)
(0.500024,	0.058586,	0.002827,	0.048246,	-2.263014,	-0.500507)
(0.506430,	0.051519,	0.002766,	0.053680,	-2.260255,	-0.500304)
(0.501480,	0.000000,	0.000000,	0.049613,	-2.260255,	-0.500304)
(0.480922,	0.021239,	0.002192,	0.053603,	-2.258217,	-0.499499)
(0.483831,	0.039830,	0.001981,	0.049743,	-2.256465,	-0.498572)
(0.480233,	0.000000,	0.000000,	0.053482,	-2.256465,	-0.498572)
(0.488631,	0.000000,	0.000000,	0.049705,	-2.256465,	-0.498572)
(0.480562,	0.000000,	0.000000,	0.053541,	-2.256465,	-0.498572)
(0.481951,	0.004897,	0.001011,	0.049655,	-2.255455,	-0.498582)
(0.485134,	0.000000,	0.000000,	0.053590,	-2.255455,	-0.498582)
(0.480032,	0.000000,	0.000000,	0.049559,	-2.255455,	-0.498582)
(0.486899,	0.000000,	0.000000,	0.053626,	-2.255455,	-0.498582)
(0.481572,	0.000000,	0.000000,	0.049740,	-2.255455,	-0.498582)
(0.488304,	0.002949,	0.000767,	0.053466,	-2.254847,	-0.499049)
(0.480275,	0.000000,	0.000000,	0.049678,	-2.254847,	-0.499049)
(0.480004,	0.010021,	0.001034,	0.053534,	-2.254101,	-0.499765)
(0.486303,	0.000000,	0.000000,	0.049752,	-2.254101,	-0.499765)
(0.481957,	0.000000,	0.000000,	0.053446,	-2.254101,	-0.499765)
(0.486303,	0.000000,	0.000000,	0.049837,	-2.254101,	-0.499765)
(0.481957,	0.000000,	0.000000,	0.053394,	-2.254101,	-0.499765)
(0.486303,	0.000000,	0.000000,	0.049762,	-2.254101,	-0.499765)
(0.481957,	0.000000,	0.000000,	0.053402,	-2.254101,	-0.499765)
(0.486303,	0.000000,	0.000000,	0.049857,	-2.254101,	-0.499765)
(0.481957,	0.000000,	0.000000,	0.053404,	-2.254101,	-0.499765)
(0.486303,	0.000000,	0.000000,	0.049658,	-2.254101,	-0.499765)
(0.481957,	0.000000,	0.000000,	0.051511,	-2.254101,	-0.499765)
(0.486303,	0.000000,	0.000000,	0.051913,	-2.254101,	-0.499765)
(0.481957,	0.000000,	0.000000,	0.053324,	-2.254101,	-0.499765)
(0.486303,	0.000000,	0.000000,	0.049791,	-2.254101,	-0.499765)
(0.481957,	0.000000,	0.000000,	0.047594,	-2.254101,	-0.499765)
(0.486303,	0.000000,	0.000000,	0.055695,	-2.254101,	-0.499765)
(
